read_time,write_counts,period
1403256540000.0,6.0,1020000.0
1403257320000.0,2.0,780000.0
1403258400000.0,8.0,1080000.0
1403259540000.0,8.0,1140000.0
1403260560000.0,8.0,1020000.0
1403261880000.0,6.0,1320000.0
1403262720000.0,8.0,840000.0
1403263440000.0,5.0,720000.0
1403264100000.0,2.0,660000.0
1403264760000.0,4.0,660000.0
1403265600000.0,5.0,840000.0
1403266800000.0,9.0,1200000.0
1403268060000.0,9.0,1260000.0
1403268660000.0,6.0,600000.0
1403269680000.0,10.0,1020000.0
1403270580000.0,7.0,900000.0
1403271540000.0,9.0,960000.0
1403272440000.0,6.0,900000.0
1403273700000.0,6.0,1260000.0
1403274600000.0,8.0,900000.0
1403275320000.0,5.0,720000.0
1403276460000.0,5.0,1140000.0
1403277900000.0,5.0,1440000.0
1403278980000.0,5.0,1080000.0
1403280000000.0,6.0,1020000.0
1403280900000.0,4.0,900000.0
1403281680000.0,8.0,780000.0
1403282340000.0,8.0,660000.0
1403283000000.0,6.0,660000.0
1403283840000.0,6.0,840000.0
1403284680000.0,9.0,840000.0
1403285460000.0,7.0,780000.0
1403286060000.0,10.0,600000.0
1403286780000.0,9.0,720000.0
1403287800000.0,6.0,1020000.0
1403288700000.0,5.0,900000.0
1403290260000.0,5.0,1560000.0
1403291220000.0,3.0,960000.0
1403291940000.0,4.0,720000.0
1403292780000.0,4.0,840000.0
1403294520000.0,5.0,1740000.0
1403295900000.0,3.0,1380000.0
1403296920000.0,5.0,1020000.0
1403297520000.0,7.0,600000.0
1403298780000.0,6.0,1260000.0
1403300280000.0,5.0,1500000.0
1403301120000.0,5.0,840000.0
1403302320000.0,5.0,1200000.0
1403303880000.0,2.0,1560000.0
1403304900000.0,4.0,1020000.0
1403306820000.0,2.0,1920000.0
1403308920000.0,5.0,2100000.0
1403310120000.0,5.0,1200000.0
1403311380000.0,2.0,1260000.0
1403312820000.0,5.0,1440000.0
1403314020000.0,5.0,1200000.0
1403315040000.0,6.0,1020000.0
1403315760000.0,5.0,720000.0
1403316540000.0,5.0,780000.0
1403317740000.0,6.0,1200000.0
1403319180000.0,0.0,1440000.0
1403320860000.0,3.0,1680000.0
1403322000000.0,8.0,1140000.0
1403323860000.0,9.0,1860000.0
1403327040000.0,9.0,3180000.0
1403328660000.0,6.0,1620000.0
1403331480000.0,6.0,2820000.0
1403332560000.0,8.0,1080000.0
1403335200000.0,5.0,2640000.0
1403337240000.0,4.0,2040000.0
1403338320000.0,9.0,1080000.0
1403339580000.0,4.0,1260000.0
1403340180000.0,7.0,600000.0
1403341740000.0,8.0,1560000.0
1403342520000.0,8.0,780000.0
1403343900000.0,8.0,1380000.0
1403344500000.0,9.0,600000.0
1403345100000.0,10.0,600000.0
1403346720000.0,10.0,1620000.0
1403348100000.0,6.0,1380000.0
1403350740000.0,8.0,2640000.0
1403352300000.0,6.0,1560000.0
1403354520000.0,9.0,2220000.0
1403355960000.0,5.0,1440000.0
1403356920000.0,4.0,960000.0
1403357520000.0,7.0,600000.0
1403358660000.0,7.0,1140000.0
1403359980000.0,8.0,1320000.0
1403361060000.0,4.0,1080000.0
1403362140000.0,1.0,1080000.0
1403363220000.0,7.0,1080000.0
1403364060000.0,9.0,840000.0
1403365740000.0,5.0,1680000.0
1403367600000.0,3.0,1860000.0
1403369340000.0,7.0,1740000.0
1403370360000.0,8.0,1020000.0
1403371980000.0,3.0,1620000.0
1403373660000.0,2.0,1680000.0
1403376600000.0,4.0,2940000.0
1403378580000.0,7.0,1980000.0
1403379720000.0,4.0,1140000.0
1403381640000.0,2.0,1920000.0
1403383620000.0,5.0,1980000.0
1403385180000.0,9.0,1560000.0
1403387220000.0,2.0,2040000.0
1403388780000.0,2.0,1560000.0
1403391240000.0,4.0,2460000.0
1403392320000.0,7.0,1080000.0
1403394840000.0,7.0,2520000.0
1403397480000.0,6.0,2640000.0
1403400120000.0,8.0,2640000.0
1403401620000.0,4.0,1500000.0
1403402400000.0,5.0,780000.0
1403403000000.0,9.0,600000.0
1403403600000.0,5.0,600000.0
1403404680000.0,4.0,1080000.0
1403405820000.0,7.0,1140000.0
1403406660000.0,7.0,840000.0
1403407260000.0,2.0,600000.0
1403407860000.0,7.0,600000.0
1403408580000.0,9.0,720000.0
1403409780000.0,5.0,1200000.0
1403410980000.0,4.0,1200000.0
